도시명,위도,경도,사고건수,발생월
서울 종로구,37.5806949,126.9827989,77,1
서울 종로구,37.5806949,126.9827989,56,2
서울 종로구,37.5806949,126.9827989,74,3
서울 종로구,37.5806949,126.9827989,84,4
서울 종로구,37.5806949,126.9827989,61,5
서울 종로구,37.5806949,126.9827989,82,6
서울 종로구,37.5806949,126.9827989,66,7
서울 종로구,37.5806949,126.9827989,89,8
서울 종로구,37.5806949,126.9827989,81,9
서울 종로구,37.5806949,126.9827989,88,10
서울 종로구,37.5806949,126.9827989,90,11
서울 종로구,37.5806949,126.9827989,69,12
서울 중구,37.5636559,126.9975097,87,1
서울 중구,37.5636559,126.9975097,66,2
서울 중구,37.5636559,126.9975097,72,3
서울 중구,37.5636559,126.9975097,98,4
서울 중구,37.5636559,126.9975097,88,5
서울 중구,37.5636559,126.9975097,79,6
서울 중구,37.5636559,126.9975097,67,7
서울 중구,37.5636559,126.9975097,73,8
서울 중구,37.5636559,126.9975097,102,9
서울 중구,37.5636559,126.9975097,97,10
서울 중구,37.5636559,126.9975097,76,11
서울 중구,37.5636559,126.9975097,71,12
서울 용산구,37.5534363,126.9697994,70,1
서울 용산구,37.5534363,126.9697994,58,2
서울 용산구,37.5534363,126.9697994,67,3
서울 용산구,37.5534363,126.9697994,80,4
서울 용산구,37.5534363,126.9697994,79,5
서울 용산구,37.5534363,126.9697994,78,6
서울 용산구,37.5534363,126.9697994,84,7
서울 용산구,37.5534363,126.9697994,78,8
서울 용산구,37.5534363,126.9697994,64,9
서울 용산구,37.5534363,126.9697994,68,10
서울 용산구,37.5534363,126.9697994,77,11
서울 용산구,37.5534363,126.9697994,65,12
서울 성동구,37.5635,127.0365,82,1
서울 성동구,37.5635,127.0365,64,2
서울 성동구,37.5635,127.0365,65,3
서울 성동구,37.5635,127.0365,74,4
서울 성동구,37.5635,127.0365,79,5
서울 성동구,37.5635,127.0365,78,6
서울 성동구,37.5635,127.0365,73,7
서울 성동구,37.5635,127.0365,78,8
서울 성동구,37.5635,127.0365,76,9
서울 성동구,37.5635,127.0365,108,10
서울 성동구,37.5635,127.0365,70,11
서울 성동구,37.5635,127.0365,72,12
서울 동대문구,37.5741982,127.0395092,169,1
서울 동대문구,37.5741982,127.0395092,106,2
서울 동대문구,37.5741982,127.0395092,108,3
서울 동대문구,37.5741982,127.0395092,122,4
서울 동대문구,37.5741982,127.0395092,119,5
서울 동대문구,37.5741982,127.0395092,141,6
서울 동대문구,37.5741982,127.0395092,104,7
서울 동대문구,37.5741982,127.0395092,132,8
서울 동대문구,37.5741982,127.0395092,124,9
서울 동대문구,37.5741982,127.0395092,142,10
서울 동대문구,37.5741982,127.0395092,130,11
서울 동대문구,37.5741982,127.0395092,123,12
서울 성북구,37.59,127.0165,109,1
서울 성북구,37.59,127.0165,89,2
서울 성북구,37.59,127.0165,105,3
서울 성북구,37.59,127.0165,108,4
서울 성북구,37.59,127.0165,122,5
서울 성북구,37.59,127.0165,103,6
서울 성북구,37.59,127.0165,102,7
서울 성북구,37.59,127.0165,106,8
서울 성북구,37.59,127.0165,119,9
서울 성북구,37.59,127.0165,126,10
서울 성북구,37.59,127.0165,101,11
서울 성북구,37.59,127.0165,96,12
서울 도봉구,37.6686,127.0466,39,1
서울 도봉구,37.6686,127.0466,35,2
서울 도봉구,37.6686,127.0466,42,3
서울 도봉구,37.6686,127.0466,47,4
서울 도봉구,37.6686,127.0466,46,5
서울 도봉구,37.6686,127.0466,49,6
서울 도봉구,37.6686,127.0466,53,7
서울 도봉구,37.6686,127.0466,31,8
서울 도봉구,37.6686,127.0466,50,9
서울 도봉구,37.6686,127.0466,43,10
서울 도봉구,37.6686,127.0466,43,11
서울 도봉구,37.6686,127.0466,44,12
서울 은평구,37.6024,126.9293,83,1
서울 은평구,37.6024,126.9293,65,2
서울 은평구,37.6024,126.9293,91,3
서울 은평구,37.6024,126.9293,105,4
서울 은평구,37.6024,126.9293,106,5
서울 은평구,37.6024,126.9293,111,6
서울 은평구,37.6024,126.9293,96,7
서울 은평구,37.6024,126.9293,122,8
서울 은평구,37.6024,126.9293,103,9
서울 은평구,37.6024,126.9293,112,10
서울 은평구,37.6024,126.9293,117,11
서울 은평구,37.6024,126.9293,107,12
서울 서대문구,37.5790747,126.9367861,81,1
서울 서대문구,37.5790747,126.9367861,74,2
서울 서대문구,37.5790747,126.9367861,76,3
서울 서대문구,37.5790747,126.9367861,61,4
서울 서대문구,37.5790747,126.9367861,76,5
서울 서대문구,37.5790747,126.9367861,62,6
서울 서대문구,37.5790747,126.9367861,61,7
서울 서대문구,37.5790747,126.9367861,73,8
서울 서대문구,37.5790747,126.9367861,55,9
서울 서대문구,37.5790747,126.9367861,73,10
서울 서대문구,37.5790747,126.9367861,68,11
서울 서대문구,37.5790747,126.9367861,58,12
서울 마포구,37.566571,126.9015317,94,1
서울 마포구,37.566571,126.9015317,93,2
서울 마포구,37.566571,126.9015317,88,3
서울 마포구,37.566571,126.9015317,87,4
서울 마포구,37.566571,126.9015317,113,5
서울 마포구,37.566571,126.9015317,103,6
서울 마포구,37.566571,126.9015317,115,7
서울 마포구,37.566571,126.9015317,102,8
서울 마포구,37.566571,126.9015317,106,9
서울 마포구,37.566571,126.9015317,98,10
서울 마포구,37.566571,126.9015317,111,11
서울 마포구,37.566571,126.9015317,91,12
서울 강서구,37.5509,126.8497,103,1
서울 강서구,37.5509,126.8497,105,2
서울 강서구,37.5509,126.8497,122,3
서울 강서구,37.5509,126.8497,118,4
서울 강서구,37.5509,126.8497,150,5
서울 강서구,37.5509,126.8497,121,6
서울 강서구,37.5509,126.8497,133,7
