시도,시군구,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,01,77,0,25,70,2
서울,종로구,02,56,0,13,57,6
서울,종로구,03,74,0,28,66,7
서울,종로구,04,84,0,23,84,3
서울,종로구,05,61,1,9,67,11
서울,종로구,06,82,1,28,120,11
서울,종로구,07,66,0,15,56,5
서울,종로구,08,89,0,22,86,14
서울,종로구,09,81,0,19,80,6
서울,종로구,10,88,1,22,96,5
서울,종로구,11,90,1,15,95,7
서울,종로구,12,69,1,11,61,8
서울,중구,01,87,0,25,71,12
서울,중구,02,66,0,14,62,10
서울,중구,03,72,0,16,63,12
서울,중구,04,98,3,28,81,19
서울,중구,05,88,1,19,83,8
서울,중구,06,79,0,18,77,8
서울,중구,07,67,9,11,75,7
서울,중구,08,73,0,18,66,9
서울,중구,09,102,2,22,97,11
서울,중구,10,97,0,27,90,8
서울,중구,11,76,0,27,48,10
서울,중구,12,71,1,16,63,5
서울,용산구,01,70,1,19,68,3
서울,용산구,02,58,0,15,75,1
서울,용산구,03,67,1,23,72,1
서울,용산구,04,80,0,16,90,1
서울,용산구,05,79,2,15,85,0
서울,용산구,06,78,0,21,87,6
서울,용산구,07,84,2,22,89,2
서울,용산구,08,78,3,17,83,4
서울,용산구,09,64,1,15,65,3
서울,용산구,10,68,2,17,62,7
서울,용산구,11,77,0,27,76,3
서울,용산구,12,65,0,17,65,2
서울,성동구,01,82,1,30,80,3
서울,성동구,02,64,0,15,68,3
서울,성동구,03,65,2,12,74,1
서울,성동구,04,74,1,10,78,2
서울,성동구,05,79,0,13,85,5
서울,성동구,06,78,1,19,72,4
서울,성동구,07,73,1,19,62,5
서울,성동구,08,78,0,14,79,6
서울,성동구,09,76,0,25,67,5
서울,성동구,10,108,0,27,100,9
서울,성동구,11,70,0,15,62,6
서울,성동구,12,72,1,11,62,7
서울,동대문구,01,169,0,43,146,17
서울,동대문구,02,106,1,28,97,9
서울,동대문구,03,108,1,27,92,11
서울,동대문구,04,122,0,31,103,14
서울,동대문구,05,119,0,27,112,11
서울,동대문구,06,141,1,40,115,16
서울,동대문구,07,104,0,29,104,6
서울,동대문구,08,132,0,37,126,10
서울,동대문구,09,124,0,35,114,14
서울,동대문구,10,142,1,47,133,5
서울,동대문구,11,130,0,31,109,15
서울,동대문구,12,123,1,28,118,6
서울,성북구,01,109,0,25,103,11
서울,성북구,02,89,0,22,82,13
서울,성북구,03,105,1,28,108,8
서울,성북구,04,108,1,30,111,9
서울,성북구,05,122,2,33,108,14
서울,성북구,06,103,1,30,89,10
서울,성북구,07,102,1,20,110,5
서울,성북구,08,106,0,17,103,11
서울,성북구,09,119,0,21,122,5
서울,성북구,10,126,1,20,116,11
서울,성북구,11,101,0,25,91,4
서울,성북구,12,96,0,23,83,7
서울,도봉구,01,39,0,9,34,3
서울,도봉구,02,35,0,7,39,4
서울,도봉구,03,42,0,7,45,0
서울,도봉구,04,47,2,14,45,6
서울,도봉구,05,46,0,13,41,5
서울,도봉구,06,49,0,12,46,4
서울,도봉구,07,53,0,14,48,5
서울,도봉구,08,31,1,12,29,4
서울,도봉구,09,50,1,9,38,13
서울,도봉구,10,43,1,13,33,4
서울,도봉구,11,43,0,16,35,6
서울,도봉구,12,44,0,12,41,5
서울,은평구,01,83,0,18,82,5
서울,은평구,02,65,1,26,63,3
서울,은평구,03,91,0,29,77,8
서울,은평구,04,105,0,26,99,8
서울,은평구,05,106,0,30,97,5
서울,은평구,06,111,0,28,93,10
서울,은평구,07,96,0,33,76,12
서울,은평구,08,122,0,28,112,15
서울,은평구,09,103,1,29,96,11
서울,은평구,10,112,0,36,89,13
서울,은평구,11,117,0,26,122,19
서울,은평구,12,107,0,41,102,7
서울,서대문구,01,81,0,20,78,10
서울,서대문구,02,74,0,18,71,10
서울,서대문구,03,76,1,10,90,12
서울,서대문구,04,61,1,12,68,8
서울,서대문구,05,76,1,15,74,8
서울,서대문구,06,62,1,9,60,9
서울,서대문구,07,61,1,15,62,12
서울,서대문구,08,73,0,20,64,14
서울,서대문구,09,55,0,17,44,9
서울,서대문구,10,73,0,11,72,12
서울,서대문구,11,68,1,17,68,9
서울,서대문구,12,58,0,11,60,6
서울,마포구,01,94,1,26,101,13
서울,마포구,02,93,0,15,111,6
서울,마포구,03,88,0,22,80,9
서울,마포구,04,87,0,18,94,8
서울,마포구,05,113,1,14,133,9
서울,마포구,06,103,0,21,128,6
서울,마포구,07,115,0,36,115,8
서울,마포구,08,102,3,21,122,11
서울,마포구,09,106,1,24,86,13
서울,마포구,10,98,1,17,96,6
서울,마포구,11,111,2,16,130,9
서울,마포구,12,91,2,22,86,9
서울,강서구,01,103,3,18,110,7
서울,강서구,02,105,0,31,115,8
서울,강서구,03,122,1,39,110,17
서울,강서구,04,118,1,20,107,14
서울,강서구,05,150,0,41,131,19
서울,강서구,06,121,0,13,127,20
서울,강서구,07,133,1,30,125,11
서울,강서구,08,144,0,35,121,22
서울,강서구,09,137,1,30,135,13
서울,강서구,10,146,1,31,131,23
서울,강서구,11,135,4,28,136,15
서울,강서구,12,124,0,35,123,10
서울,구로구,01,104,0,20,105,17
서울,구로구,02,93,1,23,78,9
서울,구로구,03,107,1,26,109,10
서울,구로구,04,109,0,25,101,11
서울,구로구,05,134,0,33,114,17
서울,구로구,06,119,1,18,117,15
서울,구로구,07,108,1,26,119,12
서울,구로구,08,114,0,28,98,13
서울,구로구,09,102,1,27,92,16
서울,구로구,10,117,1,29,137,25
서울,구로구,11,120,0,27,107,14
서울,구로구,12,93,1,18,97,3
서울,영등포구,01,145,0,27,156,20
서울,영등포구,02,127,3,27,124,22
서울,영등포구,03,146,0,36,137,20
서울,영등포구,04,157,1,29,154,28
서울,영등포구,05,152,0,33,153,13
서울,영등포구,06,193,0,26,206,30
서울,영등포구,07,159,2,39,154,14
서울,영등포구,08,163,1,40,160,22
서울,영등포구,09,191,0,46,196,27
서울,영등포구,10,199,0,55,188,36
서울,영등포구,11,181,0,38,161,44
서울,영등포구,12,135,1,22,143,17
서울,동작구,01,78,0,22,83,9
서울,동작구,02,82,0,30,61,14
서울,동작구,03,107,0,17,109,23
서울,동작구,04,119,0,28,103,13
서울,동작구,05,120,0,38,113,12
서울,동작구,06,98,0,16,95,11
서울,동작구,07,97,0,24,89,16
서울,동작구,08,112,2,17,111,14
서울,동작구,09,115,0,29,110,12
서울,동작구,10,113,0,24,118,16
서울,동작구,11,102,0,21,103,10
서울,동작구,12,87,0,17,79,8
서울,관악구,01,105,1,23,99,7
서울,관악구,02,103,1,14,113,6
서울,관악구,03,122,1,17,115,9
서울,관악구,04,106,2,19,120,4
서울,관악구,05,104,2,22,113,0
서울,관악구,06,115,1,27,117,3
서울,관악구,07,99,1,19,90,4
서울,관악구,08,107,1,18,95,8
서울,관악구,09,87,0,24,92,5
서울,관악구,10,107,0,26,93,12
서울,관악구,11,97,2,25,88,8
서울,관악구,12,102,1,15,123,8
서울,강남구,01,287,1,56,298,25
서울,강남구,02,269,2,49,287,24
서울,강남구,03,293,0,56,318,32
서울,강남구,04,320,0,60,318,48
서울,강남구,05,290,2,63,266,27
서울,강남구,06,321,1,72,326,26
서울,강남구,07,339,0,59,339,38
서울,강남구,08,347,1,53,337,32
서울,강남구,09,300,1,68,281,21
서울,강남구,10,328,1,60,340,39
서울,강남구,11,346,0,63,343,35
서울,강남구,12,314,2,57,320,27
서울,강동구,01,70,0,20,70,3
서울,강동구,02,105,0,27,109,4
서울,강동구,03,117,1,29,114,7
서울,강동구,04,99,1,35,126,8
서울,강동구,05,121,2,24,139,4
서울,강동구,06,143,1,25,160,8
서울,강동구,07,121,1,24,126,6
서울,강동구,08,132,0,29,149,10
서울,강동구,09,126,1,38,122,8
서울,강동구,10,138,0,34,136,6
서울,강동구,11,133,1,33,119,14
서울,강동구,12,123,1,33,110,12
서울,송파구,01,186,2,42,181,24
서울,송파구,02,154,1,34,172,14
서울,송파구,03,222,1,36,228,25
서울,송파구,04,189,2,47,201,32
서울,송파구,05,232,1,61,253,33
서울,송파구,06,226,1,54,222,36
서울,송파구,07,195,1,44,193,22
서울,송파구,08,220,2,51,216,38
서울,송파구,09,224,0,68,207,25
서울,송파구,10,207,2,53,197,28
서울,송파구,11,236,3,45,244,17
서울,송파구,12,209,4,38,213,30
서울,서초구,01,171,2,39,211,10
서울,서초구,02,131,0,23,161,7
서울,서초구,03,157,2,31,201,17
서울,서초구,04,164,3,36,190,8
서울,서초구,05,163,0,36,189,8
서울,서초구,06,168,2,30,197,6
서울,서초구,07,181,1,34,197,4
서울,서초구,08,158,2,27,173,6
서울,서초구,09,183,2,33,204,10
서울,서초구,10,217,1,50,288,24
서울,서초구,11,167,1,37,208,7
서울,서초구,12,167,1,36,214,7
서울,양천구,01,89,0,13,88,8
서울,양천구,02,83,1,15,96,8
서울,양천구,03,94,0,28,92,11
서울,양천구,04,106,0,24,101,18
서울,양천구,05,122,0,21,124,15
서울,양천구,06,102,0,20,104,9
서울,양천구,07,126,1,25,126,11
서울,양천구,08,104,1,23,103,12
서울,양천구,09,95,2,14,93,10
서울,양천구,10,120,0,19,132,15
서울,양천구,11,112,1,18,107,23
서울,양천구,12,121,1,39,113,11
서울,중랑구,01,74,0,19,86,6
서울,중랑구,02,90,0,20,89,13
서울,중랑구,03,99,1,33,104,9
서울,중랑구,04,92,1,22,75,13
서울,중랑구,05,103,1,22,102,17
서울,중랑구,06,118,1,32,100,19
서울,중랑구,07,96,0,22,100,11
서울,중랑구,08,123,2,25,118,19
서울,중랑구,09,94,1,30,91,12
서울,중랑구,10,115,0,28,111,17
서울,중랑구,11,91,1,18,92,12
서울,중랑구,12,104,0,33,86,17
서울,노원구,01,101,0,22,120,13
서울,노원구,02,95,0,24,98,9
서울,노원구,03,109,0,22,122,9
서울,노원구,04,100,1,25,102,9
서울,노원구,05,121,2,39,108,12
서울,노원구,06,129,0,29,127,13
서울,노원구,07,95,0,22,92,16
서울,노원구,08,123,0,24,118,20
서울,노원구,09,107,1,18,96,13
서울,노원구,10,120,0,24,108,16
서울,노원구,11,102,1,24,105,7
서울,노원구,12,86,0,21,73,17
서울,광진구,01,44,0,13,46,6
서울,광진구,02,65,0,10,77,7
서울,광진구,03,72,1,19,75,2
서울,광진구,04,57,1,11,49,7
서울,광진구,05,84,1,15,76,5
서울,광진구,06,93,0,21,89,5
서울,광진구,07,53,0,8,58,4
서울,광진구,08,56,1,13,57,3
서울,광진구,09,72,0,20,73,4
서울,광진구,10,65,0,19,58,1
서울,광진구,11,64,0,17,63,3
서울,광진구,12,60,0,17,63,4
서울,강북구,01,67,0,20,59,5
서울,강북구,02,62,0,11,56,5
서울,강북구,03,77,1,14,87,8
서울,강북구,04,76,0,22,74,3
서울,강북구,05,73,2,19,76,4
서울,강북구,06,68,0,14,53,11
서울,강북구,07,72,0,17,74,8
서울,강북구,08,70,0,20,59,5
서울,강북구,09,75,1,21,71,9
서울,강북구,10,78,1,16,78,5
서울,강북구,11,91,0,15,89,6
서울,강북구,12,68,0,13,70,6
서울,금천구,01,73,1,13,72,10
서울,금천구,02,52,1,7,57,9
서울,금천구,03,72,1,17,75,7
서울,금천구,04,61,0,11,72,2
서울,금천구,05,62,1,19,78,3
서울,금천구,06,76,0,13,79,5
서울,금천구,07,71,0,13,84,5
서울,금천구,08,68,1,19,56,7
서울,금천구,09,51,0,9,51,4
서울,금천구,10,69,2,17,61,1
서울,금천구,11,69,1,6,82,2
서울,금천구,12,74,0,19,76,10
부산,중구,01,25,0,10,22,3
부산,중구,02,22,0,8,23,3
부산,중구,03,36,0,6,40,1
부산,중구,04,31,0,7,35,3
부산,중구,05,28,0,13,27,1
부산,중구,06,29,0,8,34,4
부산,중구,07,29,0,6,36,2
부산,중구,08,28,0,5,27,0
부산,중구,09,32,1,4,38,2
부산,중구,10,31,1,9,33,1
부산,중구,11,37,0,9,38,4
부산,중구,12,28,0,7,28,0
부산,서구,01,32,0,8,32,2
부산,서구,02,39,0,13,42,2
부산,서구,03,28,0,10,26,3
부산,서구,04,36,0,8,44,4
부산,서구,05,43,0,14,40,3
부산,서구,06,38,0,14,35,0
부산,서구,07,35,0,8,36,4
부산,서구,08,31,0,9,35,0
부산,서구,09,38,0,15,35,3
부산,서구,10,34,0,17,42,1
부산,서구,11,37,0,14,28,5
부산,서구,12,33,1,11,25,1
부산,동구,01,34,0,6,37,3
부산,동구,02,35,1,12,35,0
부산,동구,03,39,0,6,44,1
부산,동구,04,42,0,12,53,0
부산,동구,05,42,0,11,47,0
부산,동구,06,39,0,7,46,0
부산,동구,07,51,1,15,51,3
부산,동구,08,45,0,13,42,2
부산,동구,09,48,0,15,60,0
부산,동구,10,46,1,8,51,1
부산,동구,11,37,1,5,47,2
부산,동구,12,37,1,13,52,1
부산,영도구,01,20,0,7,18,1
부산,영도구,02,27,0,11,21,3
부산,영도구,03,18,2,9,14,1
부산,영도구,04,21,1,10,20,1
부산,영도구,05,26,0,11,34,1
부산,영도구,06,18,1,4,13,3
부산,영도구,07,19,0,3,25,0
부산,영도구,08,23,1,7,19,0
부산,영도구,09,25,0,4,25,0
부산,영도구,10,25,0,8,20,0
부산,영도구,11,25,0,5,26,3
부산,영도구,12,26,0,9,20,0
부산,부산진구,01,113,2,33,104,11
부산,부산진구,02,124,1,39,116,17
부산,부산진구,03,112,2,35,101,12
부산,부산진구,04,137,1,38,143,8
부산,부산진구,05,139,1,39,138,8
부산,부산진구,06,101,0,27,128,11
부산,부산진구,07,110,1,38,105,7
부산,부산진구,08,115,2,33,118,8
부산,부산진구,09,144,1,38,126,15
부산,부산진구,10,93,0,32,92,11
부산,부산진구,11,124,0,39,108,6
부산,부산진구,12,118,1,35,105,15
